pr_id,repository_name,title_length,description_length,files_changed,lines_added,lines_deleted,time_to_merge,num_commits,is_bug_fix,num_comments,num_reviewers,merge_status,author_experience,author_tenure,author_contributions,review_time,num_approvals,review_sentiment_score,security_issues,code_quality_issues,code_quality_rate
32796,spring-framework,59,509,1,1,1,,1,FALSE,4,0,FALSE,1,70.06666666666666,,0,0,0.1,,No major code quality issues found.,good
32784,spring-framework,73,43,4,7,5,0.47194444444444444,1,FALSE,0,0,TRUE,68,177.06666666666666,,0,0,0,,"No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.",great
32782,spring-framework,9,0,1,2,1,1.4091666666666667,1,FALSE,0,0,TRUE,68,177.06666666666666,,0,0,0,,No major code quality issues found.,medium
32765,spring-framework,35,343,1,24,24,,1,FALSE,0,0,FALSE,1,37.43333333333333,,0,0,0,,No major code quality issues found.,good
32763,spring-framework,83,1308,4,61,0,,2,FALSE,3,0,FALSE,1,37.43333333333333,,0,0,0.5916666666666667,,"No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.",great
32745,spring-framework,52,564,2,53,0,,1,FALSE,1,0,FALSE,0,57.766666666666666,,0,0,0.2,,"No major code quality issues found.
No major code quality issues found.",medium
32738,spring-framework,55,0,2,25,1,,1,FALSE,1,0,FALSE,1,55.46666666666667,,0,0,0.2,,"No major code quality issues found.
No major code quality issues found.",best
32718,spring-framework,31,2021,1,8,0,,2,FALSE,7,1,FALSE,0,123.33333333333333,,720.8994444444445,0,-0.320492424,,No major code quality issues found.,not bad
32704,spring-framework,61,1899,3,98,11,,1,FALSE,12,2,FALSE,4,91.46666666666667,,418.52722222222224,1,0.5175820707070707,,"No major code quality issues found.
No major code quality issues found.
No major code quality issues found.",good
32703,spring-framework,61,2007,2,21,1,,2,FALSE,7,0,FALSE,1,49,,0,0,1.0438450727513229,,"No major code quality issues found.
No major code quality issues found.",the best
32675,spring-framework,37,90,1,1,1,,1,FALSE,1,0,FALSE,1,73.76666666666667,,0,0,0.125,,No major code quality issues found.,best
32674,spring-framework,27,111,1,2,1,,1,FALSE,2,1,FALSE,1,73.76666666666667,,5.818333333333333,0,0,,No major code quality issues found.,the best
32673,spring-framework,68,222,2,2,2,,3,FALSE,1,0,FALSE,1,73.76666666666667,,0,0,-0.4,,"No major code quality issues found.
No major code quality issues found.",best
32663,spring-framework,67,193,1,2,2,,1,FALSE,2,0,FALSE,1,27.466666666666665,,0,0,0.18333333333333335,,No major code quality issues found.,great
32662,spring-framework,74,731,3,114,7,,1,FALSE,4,0,FALSE,0,47.266666666666666,,0,0,0.9838113275613275,,"No major code quality issues found.
No major code quality issues found.
No major code quality issues found.",medium
32660,spring-framework,55,1812,2,18,0,,1,FALSE,3,0,FALSE,1,18.3,,0,0,0.5625,,"No major code quality issues found.
No major code quality issues found.",medium
32659,spring-framework,76,104,2,2,2,,1,FALSE,1,0,FALSE,4,61.96666666666667,,0,0,0,,"No major code quality issues found.
No major code quality issues found.",not bad
32656,spring-framework,67,622,1,16,6,,1,FALSE,1,0,FALSE,1,73.7,,0,0,0.1,,No major code quality issues found.,the best
32655,spring-framework,42,549,1,14,20,,2,FALSE,2,0,FALSE,1,73.7,,0,0,0,,No major code quality issues found.,medium
32654,spring-framework,42,549,1,137,144,,3,FALSE,0,0,FALSE,1,73.7,,0,0,0,,No major code quality issues found.,medium
32653,spring-framework,47,333,1,10,1,511.795,1,FALSE,1,0,TRUE,1,110.8,,0,0,0,,No major code quality issues found.,medium
32652,spring-framework,63,1534,3,52,6,,1,FALSE,4,2,FALSE,1,55,,380.8638888888889,0,-0.275,,"No major code quality issues found.
No major code quality issues found.
No major code quality issues found.",the best
32648,spring-framework,33,1340,2,66,9,,3,FALSE,1,0,FALSE,1,18.266666666666666,,0,0,0.39999999999999997,,"No major code quality issues found.
No major code quality issues found.",the best
32647,spring-framework,71,287,1,1,1,,1,FALSE,2,0,FALSE,1,73.7,,0,0,0.38888888888888895,,No major code quality issues found.,best
32646,spring-framework,39,118,1,4,1,,1,FALSE,1,0,FALSE,1,73.7,,0,0,0.4,,No major code quality issues found.,not bad
32637,spring-framework,45,732,1,24,1,,1,FALSE,4,0,FALSE,0,105.66666666666667,,0,0,-0.008333333,,No major code quality issues found.,medium
32636,spring-framework,68,937,2,4,4,,3,FALSE,4,2,FALSE,4,61.9,,184.4402777777778,1,0.4361111111111111,,"No major code quality issues found.
No major code quality issues found.",best
32635,spring-framework,62,411,1,1,1,,1,FALSE,1,1,FALSE,4,61.9,,47.66138888888889,1,0.052777778,,No major code quality issues found.,best
32634,spring-framework,70,181,1,4,4,,1,FALSE,1,0,FALSE,1,73.63333333333334,,0,0,0.11000000000000001,,No major code quality issues found.,great
32628,spring-framework,29,0,3,3,3,,1,FALSE,5,2,FALSE,1,0.066666667,,6.821666666666666,0,0.2833333333333333,,"No major code quality issues found.
No major code quality issues found.
No major code quality issues found.",great
32623,spring-framework,34,686,1,3,10,,1,FALSE,4,0,FALSE,1,73.53333333333333,,0,0,0.30177368927368925,,No major code quality issues found.,best
32622,spring-framework,68,406,2,53,18,,1,FALSE,2,0,FALSE,1,15.733333333333333,,0,0,0,,"No major code quality issues found.
No major code quality issues found.",good
32610,spring-framework,57,820,1,1,4,,1,FALSE,0,0,FALSE,5,75.46666666666667,,0,0,0,,No major code quality issues found.,not bad
32584,spring-framework,78,1242,15,140,164,,18,FALSE,3,0,FALSE,1,73.4,,0,0,0.3142857142857143,,"No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.",good
32574,spring-framework,60,66,1,7,5,,2,FALSE,4,0,FALSE,0,82.46666666666667,,0,0,0.21212121212121213,,No major code quality issues found.,the best
32570,spring-framework,62,47,2,73,2,,1,FALSE,1,0,FALSE,0,54.56666666666667,,0,0,0.20000000000000004,,"No major code quality issues found.
No major code quality issues found.",great
32569,spring-framework,62,47,2,71,3,,1,FALSE,3,0,FALSE,0,54.56666666666667,,0,0,0.1,,"No major code quality issues found.
No major code quality issues found.",great
32560,spring-framework,75,340,1,1,2,,1,FALSE,1,0,FALSE,68,175.8,,0,0,0.25,,No major code quality issues found.,best
32558,spring-framework,53,687,3,69,3,,1,FALSE,7,2,FALSE,1,85.76666666666667,,27.737222222222222,1,0.8555555555555556,,"No major code quality issues found.
No major code quality issues found.",good
32551,spring-framework,96,2507,5,262,0,,1,FALSE,4,0,FALSE,0,32.56666666666667,,0,0,0.4526785714285715,,"No major code quality issues found.
No major code quality issues found.
No major code quality issues found.",not bad
32550,spring-framework,61,1083,1,16,24,,1,FALSE,1,0,FALSE,5,75.06666666666666,,0,0,0,,No major code quality issues found.,not bad
32536,spring-framework,58,4291,6,65,3,,3,FALSE,3,0,FALSE,3,72.33333333333333,,0,0,0.3227272727272727,,"No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.",good
32532,spring-framework,82,213,3,4,4,102.14583333333333,1,FALSE,5,0,TRUE,1,185.86666666666667,,0,0,0.75625,,"No major code quality issues found.
No major code quality issues found.
No major code quality issues found.",the best
32524,spring-framework,61,195,1,1,1,,1,FALSE,2,0,FALSE,192,152.33333333333334,,0,0,-0.25,,No major code quality issues found.,the best
32521,spring-framework,45,132,4,46,58,,1,FALSE,1,0,FALSE,1,56.766666666666666,,0,0,-0.075,,"No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.",not bad
32520,spring-framework,57,138,1,2,2,,1,FALSE,3,0,FALSE,1,56.766666666666666,,0,0,0.8231292517006803,,No major code quality issues found.,good
32518,spring-framework,49,138,1,2,2,,1,FALSE,0,0,FALSE,1,56.766666666666666,,0,0,0,,No major code quality issues found.,good
32517,spring-framework,78,119,1,5,0,,1,FALSE,0,0,FALSE,192,152.3,,0,0,0,,No major code quality issues found.,best
32514,spring-framework,57,127,2,2,1,,1,FALSE,0,0,FALSE,192,152.3,,0,0,0,,"No major code quality issues found.
No major code quality issues found.",the best
32511,spring-framework,59,518,2,11,1,,1,FALSE,1,0,FALSE,68,175.5,,0,0,0.20000000000000004,,"No major code quality issues found.
No major code quality issues found.",not bad
32507,spring-framework,34,82,3,78,2,,1,FALSE,1,0,FALSE,0,77.63333333333334,,0,0,0.2,,"No major code quality issues found.
No major code quality issues found.",not bad
32492,spring-framework,88,14,2,23,3,,4,FALSE,1,0,FALSE,1,152.8,,0,0,0,,"No major code quality issues found.
No major code quality issues found.",medium
32482,spring-framework,67,362,8,204,88,,2,FALSE,1,0,FALSE,2,136.8,,0,0,-0.324242424,,"No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.",great
